,Sources,Content,Time,Source Links,Time (hours)
0,The Indian Express, Directors of owner firms of Donor No. 3 Qwik Supply are Reliance executives Qwik Supply's registered email address as per the RoC is also linked to Reliance Industries Limited's domain (ril.com).,15 hours ago,https://indianexpress.com/article/india/directors-of-owner-firms-of-donor-no-3-qwik-supply-are-reliance-executives-9217046/,15.0
1,Times of India," 2 Qwik Supply directors linked to Reliance entities; not subsidiary: RIL India News: MUMBAI: Qwik Supply Chain, a little known company, has emerged as the third-largest buyer of electoral bonds at Rs 410 crore...",17 hours ago,https://timesofindia.indiatimes.com/india/2-qwik-supply-directors-linked-to-reliance-entities-not-subsidiary-ril/articleshow/108534060.cms,17.0
2,mint," Paramount to sell Viacom18 stake to Reliance in India exit | Mint Reliance currently owns 57.48% stake in Viacom18, through the latter's parent company TV18 Broadcast Ltd. This will increase to 70.49% after...",1 day ago,https://www.livemint.com/companies/news/reliance-industries-to-buy-out-paramounts-13-01-stake-in-viacom18-for-517-million-11710376358415.html,24.0
3,MarketWatch," Reliance Industries falls Friday, underperforms market Reliance Industries Ltd. shares inched down 0.98% to 2837.25 Indian rupees Friday, on what proved to be an all-around poor trading session...",1 day ago,https://www.marketwatch.com/story/reliance-industries-falls-friday-underperforms-market-8c33b8a7-fc674dffc3b1,24.0
4,HW News English," Reliance Executives Revealed As Directors For Qwik Supply's Owner Firms Its connection to Reliance Industries Limited (RIL) arises from directors in Qwik Supply's shareholder companies,",9 hours ago,https://hwnews.in/news/national/reliance-executives-revealed-as-directors-for-qwik-supplys-owner-firms/,9.0
5,Scroll.in," Reliance-linked firms bought electoral bonds in crucial election years – after an amendment The firms are linked to Reliance Industries through common directors, common addresses and business associates.",1 day ago,https://scroll.in/article/1065224/reliance-linked-firms-bought-electoral-bonds-in-crucial-election-years-after-an-amendment,24.0
6,Reuters," Qwik, a top buyer of Indian electoral bonds, is affiliated to Ambani's Reliance, filings show A little-known Indian company, Qwik Supply Chain, which purchased $50 million worth of bonds for political donations via an opaque scheme is...",1 day ago,https://www.reuters.com/world/india/qwik-top-buyer-indian-electoral-bonds-is-affiliated-ambanis-reliance-filings-2024-03-15/,24.0
7,The Economic Times," Volume Updates: Reliance Industries Limited (RIL) Records Impressive Trading Volume, Surpassing 7-Day Average Discover the Reliance Industries Stock Liveblog, your go-to destination for real-time updates and comprehensive analysis of a top-performing...",1 day ago,https://economictimes.indiatimes.com/markets/stocks/stock-liveblog/reliance-industries-share-price-today-live-updates-14-mar-2024/liveblog/108479245.cms,24.0
8,mint," Electoral bonds data: Reliance denies link to third largest donor Qwik Supply | Mint Electoral bonds data: Reliance Industries on Friday denied links with Qwik Supply Chain Private Limited, the third largest donor to...",1 day ago,https://www.livemint.com/news/india/electoral-bonds-data-reliance-denies-link-to-3rd-largest-donor-qwik-supply-11710508411402.html,24.0
9,The Economic Times," Reliance-linked Qwik Supply third largest electoral bond buyer; Reliance says co not its subsidiary Qwik Supply Chain Private Limited, reportedly linked Reliance Industries, emerged as the third-largest donor to political parties through...",1 day ago,https://m.economictimes.com/news/politics-and-nation/reliance-linked-qwik-supply-third-largest-electoral-bond-buyer-reliance-says-co-not-its-subsidiary/articleshow/108518268.cms,24.0
10,The Financial Express," Reliance-linked Qwik Supply Chain emerges from shadow Qwik Supply Chain Private Limited, a little-known company with a registered address at Navi Mumbai's Dhirubhai Ambani Knowledge City (DAKC)...",20 hours ago,https://www.financialexpress.com/market/reliance-linked-qwik-supply-third-largest-electoral-bond-buyer-reliance-says-co-not-its-subsidiary-3426455/,20.0
